Country/Region,Cars,Commercial Vehicles,Total
Argentina,224733,80076,304809
Australia,281417,21508,302925
Austria,123586,15745,139331
Belgium,917513,99548,1017061
Brazil,1107751,243077,1350828
Canada,1626316,1432497,3058813
China,565366,1264587,1829953
Czech Rep.,348482,27779,376261
Egypt,45416,30632,76048
Finland,33903,472,34375
France,2784469,395724,3180193
Germany,5309524,378168,5687692
Hungary,125889,2297,128186
India,533149,285044,818193
Indonesia,76715,12292,89007
Iran,119419,0,119419
Italy,1410459,290797,1701256
Japan,8100169,1795307,9895476
Malaysia,237998,16092,254090
Mexico,993772,556153,1549925
Netherlands,262242,44978,307220
Poland,546843,27991,574834
Portugal,186996,65294,252290
Romania,88313,18584,106897
Russia,943732,225976,1169708
Serbia,3816,1453,5269
Slovakia,126503,328,126831
Slovenia,118132,0,118132
South Africa,214694,102673,317367
South Korea,2361735,481379,2843114
Spain,2281617,570772,2852389
Sweden,213895,36847,250742
Taiwan,266000,87000,353000
Thailand,63538,259223,322761
Turkey,222041,75821,297862
Ukraine,10136,9044,19180
UK,1786624,186895,1973519
USA,5637949,7387029,13024978
Uzbekistan,44433,0,44433
Others,86849,32801,119650
