Country/Region,Cars,Commercial Vehicles,Total,% Change
Argentina,263120,168981,432101,351%
Australia,270000,60900,330900,-162%
Austria,248059,26873,274932,86%
Belgium,881929,36127,918056,-12%
Brazil,2092029,519005,2611034,33%
Canada,1389536,1182756,2572292,-43%
China,5233132,1955576,7188708,259%
Czech Rep.,848922,5985,854907,413%
Egypt,59462,32056,91518,418%
Finland,32417,353,32770,514%
France,2723196,446023,3169219,-107%
Germany,5398508,421106,5819614,11%
Hungary,187633,3190,190823,255%
India,1473000,546808,2019808,242%
Indonesia,256285,40777,297062,-407%
Iran,800000,104500,904500,107%
Italy,892502,319092,1211594,167%
Japan,9756515,1727718,11484233,63%
Malaysia,377952,125021,502973,-108%
Mexico,1097619,947899,2045518,224%
Netherlands,87332,72122,159454,-118%
Poland,632300,82300,714600,142%
Portugal,143478,83847,227325,37%
Romania,201663,11934,213597,96%
Russia,1177918,330440,1508358,116%
Serbia,9832,1350,11182,-211%
Slovakia,295391,0,295391,353%
Slovenia,115000,35320,150320,-155%
South Africa,334482,253237,587719,119%
South Korea,3489136,350966,3840102,38%
Spain,2078639,698796,2777435,09%
Sweden,288583,44585,333168,-16%
Taiwan,211306,91915,303221,-321%
Thailand,298819,895607,1194426,61%
Turkey,545682,442098,987780,124%
Ukraine,274860,20400,295260,368%
UK,1442085,206303,1648388,-86%
USA,4366220,6897766,11263986,-60%
Uzbekistan,100000,10000,110000,148%
Others,376110,155496,531606,2.3%
